Product name,Brand,GTIN,Ordinary Price,Active Promotion Price,Min Quantity,Total for x items
"Mellanmjölk 1,5%",GARANT,"=""7340083443893""",16.95,16.33,3,48.99
Ägg M Frigående Inomhus,GARANT,"=""7311041072226""",64.95,N/A,N/A,N/A
Vispgrädde 36%,ARLA KÖKET,"=""7310865061935""",29.95,25.95,1,25.95
Majs Original Extra Crispy 3-Pack,GREEN GIANT,"=""3254474019274""",27.95,24.95,1,24.95
Standardmjölk 3%,GARANT,"=""7340083443886""",17.95,16.33,3,48.99
"Kycklinglår, Fryst",GARANT,"=""7340083462238""",32.95,24.95,1,24.95
Creme Fraiche 32%,GARANT,"=""7340083448638""",30.95,N/A,N/A,N/A
"Kycklingbröstfile, Fryst",GARANT,"=""7340083434716""",93.95,N/A,N/A,N/A
Basturökt Skinka Skivad,GARANT,"=""7311041071748""",21.95,17.5,2,35.0
"Kycklingklubba, Fryst",GARANT,"=""7340083462214""",32.95,24.95,1,24.95
"Kycklingben, Fryst",GARANT,"=""7340083462207""",35.95,24.95,1,24.95
Falukorv Ring,GARANT,"=""7311041056318""",34.95,N/A,N/A,N/A
"Kycklingfilé Mörad, Fryst",KRONFÅGEL,"=""7300322624001""",205,N/A,N/A,N/A
"Kycklingfilé Mörad, Fryst",KRONFÅGEL,"=""7300322544002""",109,N/A,N/A,N/A
Smör/Rapsolja Flytande,ARLA KÖKET,"=""7311870652187""",35.5,29.95,1,29.95
Bacon 3-Pack,SCAN,"=""7300206718000""",45.95,N/A,N/A,N/A
"Kycklingbröstfilé, Fryst",ELDORADO,"=""7340083410956""",74.95,N/A,N/A,N/A
"Torskfilé, Fryst",GARANT,"=""7340083498176""",76.95,N/A,N/A,N/A
"Mellanmjölk 1,5% Laktosfri",GARANT,"=""7340083440489""",20.95,N/A,N/A,N/A
Vispgrädde 36% Laktosfri,GARANT,"=""7340083440458""",28.95,N/A,N/A,N/A
Majskyckling Hel,GARANT,"=""2307984000001""",74.95,59.95,1,59.95
Bacon 3-Pack,GARANT,"=""7340083497353""",39.95,N/A,N/A,N/A
Krossade Tomater,GARANT,"=""7340083469602""",12.5,11,3,33.0
Majskaka Popcorn,GARANT,"=""7340083490552""",19.5,17.5,2,35.0
Smör Normalsaltat,GARANT,"=""7340083447860""",47.95,N/A,N/A,N/A
Grillad Kyckling Skivad,GARANT,"=""7340083486746""",21.95,17.5,2,35.0
Kycklingfilé,GARANT,"=""7340083498428""",115,N/A,N/A,N/A
